"Transaction ID",Timestamp,"Transaction Type",In/Out,"Amount Fiat",Fiat,"Amount Asset",Asset,"Asset market price","Asset market price currency","Asset class","Product ID",Fee,"Fee asset",Spread,"Spread Currency","Tax Fiat"
T1ee17bb7-0fa3-66f0-8880-eab050d4deea,2023-07-01T05:00:32+02:00,buy,outgoing,100.00,EUR,0.00352789,BTC,28345.55,EUR,Cryptocurrency,1,-,-,-,-,0.00
C1ee1a045-5035-6d00-bb3a-661feaacd951,2023-07-04T02:47:20+02:00,withdrawal,outgoing,0,EUR,0.00346581,BTC,0.00,-,Cryptocurrency,1,0.00006210,BTC,-,-,-
F1ee1b599-fcbb-63ae-b685-8abbf43e1241,2023-07-05T19:30:24+02:00,deposit,incoming,50.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
F1ee1b5dd-ac9e-6954-b264-62b33e49a37e,2023-07-05T20:00:41+02:00,deposit,incoming,50.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
F1ee216a5-d66d-6cac-8ff8-a6553c656748,2023-07-13T12:45:21+02:00,deposit,incoming,50.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1ee23354-4530-6796-b8fe-fa2c5773b228,2023-07-15T19:30:19+02:00,buy,outgoing,50.00,EUR,0.00181823,BTC,27499.27,EUR,Cryptocurrency,1,-,-,-,-,0.00
T1ee23397-a18c-6bc8-bdce-ea1f35cfda38,2023-07-15T20:00:27+02:00,buy,outgoing,50.00,EUR,0.00181859,BTC,27493.83,EUR,Cryptocurrency,1,-,-,-,-,0.00
C1ee248ca-2c1a-6c12-8596-9e569f033f0f,2023-07-17T12:28:13+02:00,withdrawal,outgoing,0,EUR,0.00359169,BTC,0.00,-,Cryptocurrency,1,0.00004500,BTC,-,-,-
F1ee283c2-f747-6880-a657-be84b09d23e7,2023-07-22T05:02:25+02:00,deposit,incoming,100.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1ee29462-81d7-6996-97c8-16311f73748f,2023-07-23T12:46:21+02:00,buy,outgoing,50.00,EUR,0.00182666,BTC,27372.36,EUR,Cryptocurrency,1,-,-,-,-,0.00
F1ee2d33f-3eb6-6128-bfdd-6af0ed578570,2023-07-28T12:46:05+02:00,deposit,incoming,50.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1ee30179-75b7-6bc8-b9eb-e6afa966b8b9,2023-08-01T05:00:38+02:00,buy,outgoing,100.00,EUR,0.00373627,BTC,26764.66,EUR,Cryptocurrency,1,-,-,-,-,0.00
C1ee30a1a-fa77-66c0-ba09-babd8189a0fe,2023-08-01T21:29:08+02:00,withdrawal,outgoing,0,EUR,0.00551786,BTC,0.00,-,Cryptocurrency,1,0.00004500,BTC,-,-,-
T1ee350fa-c00b-65a0-8bc0-46877546c947,2023-08-07T12:46:33+02:00,buy,outgoing,50.00,EUR,0.00185405,BTC,26967.99,EUR,Cryptocurrency,1,-,-,-,-,0.00
F1ee3b785-3054-62bc-83d1-e25fb891a1c8,2023-08-15T16:30:46+02:00,deposit,incoming,10.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
C1ee4e2f4-2365-6a56-a732-a9923669fc08,2023-09-08T12:05:37+02:00,withdrawal,outgoing,0,EUR,0.00180566,BTC,0.00,-,Cryptocurrency,1,0.00004830,BTC,-,-,-
F1ee6f2ff-9374-6c76-88a8-b1f455245925,2023-10-20T12:03:53+02:00,deposit,incoming,25.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
F1ee718b4-e551-61c2-ab33-2fcf732eba81,2023-10-23T12:02:42+02:00,deposit,incoming,25.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
F1ee74b02-c2e3-6b0a-b418-157cef4aced2,2023-10-27T12:04:09+02:00,deposit,incoming,25.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1ee7713a-da7c-6902-a940-779cb49e8264,2023-10-30T12:01:30+01:00,buy,outgoing,25.00,EUR,0.00075185,BTC,33251.31,EUR,Cryptocurrency,1,-,-,-,-,0.00
F1ee7713c-b4be-64e8-a5f0-b160b5ecb38e,2023-10-30T12:02:19+01:00,deposit,incoming,25.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1ee79745-ea39-6f62-9e9c-bf39dd70e9c3,2023-11-02T12:38:41+01:00,buy,outgoing,25.00,EUR,0.00073688,BTC,33926.83,EUR,Cryptocurrency,1,-,-,-,-,0.00
F1ee7a38c-4b45-60a2-a235-c7f39edb8ef3,2023-11-03T12:04:33+01:00,deposit,incoming,25.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1ee7c93c-db83-690e-99a0-b50ff183ad18,2023-11-06T12:01:15+01:00,buy,outgoing,25.00,EUR,0.00075039,BTC,33316.01,EUR,Cryptocurrency,1,-,-,-,-,0.00
F1ee7c93e-22aa-687c-985a-c9a87c752d53,2023-11-06T12:01:49+01:00,deposit,incoming,25.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1ee7eef3-1133-6ffa-8c52-9f1fda3055e4,2023-11-09T12:00:29+01:00,buy,outgoing,25.00,EUR,0.00071353,BTC,35037.07,EUR,Cryptocurrency,1,-,-,-,-,0.00
F1ee7eef4-8448-6b98-a40c-5117d71d9ff1,2023-11-09T12:01:06+01:00,deposit,incoming,25.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
F1ee7fb8d-6d02-6808-ba89-f7fd351a88b4,2023-11-10T12:03:54+01:00,deposit,incoming,25.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
F1ee80819-f5b9-662c-8f52-b39dae2235c9,2023-11-11T12:01:10+01:00,deposit,incoming,25.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
F1ee814ae-0d15-67c6-b9ec-47fc7ad989e0,2023-11-12T12:01:49+01:00,deposit,incoming,25.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1ee8213f-6eb5-6786-8290-bf38a2eff69b,2023-11-13T12:01:16+01:00,buy,outgoing,25.00,EUR,0.00071043,BTC,35189.96,EUR,Cryptocurrency,1,-,-,-,-,0.00
F1ee82140-c4ea-6a9c-8c84-afb0e0173eef,2023-11-13T12:01:51+01:00,deposit,incoming,25.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
C1ee8305f-0063-6ed4-8610-d374ea0b38a7,2023-11-14T16:53:22+01:00,withdrawal,outgoing,0,EUR,0.00341146,BTC,0.00,-,Cryptocurrency,1,0.00025185,BTC,-,-,-
T1ee846f5-a069-671a-8ed3-2f0fd2ba7c53,2023-11-16T12:00:29+01:00,buy,outgoing,25.00,EUR,0.00071399,BTC,35014.50,EUR,Cryptocurrency,1,-,-,-,-,0.00
F1ee846f7-9d7e-6ed6-9497-eb63a14c1574,2023-11-16T12:01:21+01:00,deposit,incoming,25.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
F1ee8538f-28fc-68c0-8f20-0d23290f4668,2023-11-17T12:03:32+01:00,deposit,incoming,25.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
F1ee8601c-f0bf-633c-8a5e-6b8c746014b5,2023-11-18T12:01:22+01:00,deposit,incoming,25.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1ee86cae-4238-64f0-ae17-cf06b8d57cd4,2023-11-19T12:00:47+01:00,buy,outgoing,25.00,EUR,0.00073269,BTC,34120.84,EUR,Cryptocurrency,1,-,-,-,-,0.00
F1ee86cb0-c15c-6842-bb8b-9b5eafb8efa1,2023-11-19T12:01:53+01:00,deposit,incoming,25.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1ee870f0-2ac7-65a0-e32c-e2aecc96c238,2023-11-19T20:08:30+01:00,buy,outgoing,15.00,EUR,0.00043617,BTC,34390.26,EUR,Cryptocurrency,1,-,-,-,-,0.00
T1ee87942-11b3-6a78-9ccc-07cee20cd786,2023-11-20T12:01:18+01:00,buy,outgoing,25.00,EUR,0.00071918,BTC,34761.81,EUR,Cryptocurrency,1,-,-,-,-,0.00
F1ee87943-f305-6eee-9fbc-7101386c8a08,2023-11-20T12:02:08+01:00,deposit,incoming,25.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1ee885d2-eb89-62d8-bf95-379ee42c1673,2023-11-21T12:00:30+01:00,buy,outgoing,25.00,EUR,0.00071933,BTC,34754.56,EUR,Cryptocurrency,1,-,-,-,-,0.00
T1ee89266-3803-64de-9a81-5fbc7c6735aa,2023-11-22T12:00:47+01:00,buy,outgoing,25.00,EUR,0.00072998,BTC,34247.51,EUR,Cryptocurrency,1,-,-,-,-,0.00
T1ee89ef8-21c6-6d30-ac8e-6b092e89c9e7,2023-11-23T12:00:27+01:00,buy,outgoing,25.00,EUR,0.00071582,BTC,34924.98,EUR,Cryptocurrency,1,-,-,-,-,0.00
F1ee89efa-753b-6144-b522-4d16a803bb24,2023-11-23T12:01:29+01:00,deposit,incoming,25.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
F1ee8ab90-cb47-675c-b3a6-c5cb0ed17a4a,2023-11-24T12:03:08+01:00,deposit,incoming,25.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
F1ee8b820-425d-6508-b34e-c50b37fa431e,2023-11-25T12:01:42+01:00,deposit,incoming,25.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1ee8c4b0-3ca5-679a-8ed0-69128a11eda2,2023-11-26T12:00:31+01:00,buy,outgoing,25.00,EUR,0.00071203,BTC,35110.88,EUR,Cryptocurrency,1,-,-,-,-,0.00
F1ee8c4b3-1bba-61fe-95a1-43f7e29885e1,2023-11-26T12:01:47+01:00,deposit,incoming,25.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1ee8d144-d387-6e7e-ba75-951e030761e4,2023-11-27T12:01:23+01:00,buy,outgoing,25.00,EUR,0.00072559,BTC,34454.72,EUR,Cryptocurrency,1,-,-,-,-,0.00
